Mata Pelajaran / Paket,Soal,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,Kunci Jawaban (A/B/C/D/E),Pembahasan
Matematika - Bantul,16. Luas sawah Pak Adams (3a-b) dan (5a+3b)...,A. 15a^2 - 3b^2 + 4ab,B. 15a^2 + 3b^2 - 4ab,C. 15a^2 - 3b^2 - 4ab,D. 15a^2 + 3b^2 + 4ab,,,
Matematika - Bantul,"17. Fungsi linear f(x)=ax+b, f(-3)=-18, f(2)=7. Pernyataan...",1. a = 5,2. b = 3,3. f(x) = 5x - 3,4. f(6) = 27,,,
Matematika - Bantul,"18. Gambar sudut x=60, y+65 dll. Pernyataan...",1. x = 55,2. y = 125,3. Penyiku x = 30,4. x+y = 180,,,
Matematika - Bantul,"19. Posisi sepeda Syafiq, Nathan, Akhtar...",1. Syafiq - Nathan 1200m,2. Syafiq - Akhtar 3900m,3. Nathan - Akhtar 2700m,4. Nathan hampiri Syafiq = 2100m,,,
Matematika - Bantul,20. Segitiga ABC kongruen XYZ (Benar/Salah),A. Sudut XYZ = ACB,B. Sudut ABC = XZY,C. Panjang AC = XZ,,,,
Matematika - Bantul,21. Lukisan dan bingkai sebangun. Lebar sisa atas kiri kanan 6cm. (Benar/Salah),A. Bawah 6cm,B. Keliling 224cm,C. Luas bingkai 2940 cm^2,,,,
Matematika - Bantul,22. Bangun kubus yang dibentuk dari jaring-jaring di atas...,A. Gambar A,B. Gambar B,C. Gambar C,D. Gambar D,,,
Matematika - Bantul,23. Segitiga ABC rotasi 90 berlawanan jarum jam (Benar/Salah),"A. A'(-2,-1)","B. B'(-4,1)","C. C'(-2,-3)",,,,
Matematika - Bantul,"24. AD=28, EF=CE=16. Keliling ABCDEF...",A. 82 cm,B. 80 cm,C. 78 cm,D. 72 cm,,,
Matematika - Bantul,25. Lahan luas di luar 2 buah setengah lingkaran.,A. 119 m^2,B. 154 m^2,C. 196 m^2,D. 273 m^2,,,
Matematika - Bantul,26. Adonan tabung besar r=28 t=40 ke cetakan kecil r=7 t=5. Banyak cetakan...,A. 192 buah,B. 128 buah,C. 108 buah,D. 96 buah,,,
Matematika - Bantul,"27. Volume bangun prisma/balok gabungan (24, 12, 10)...",A. 1200 cm^3,B. 1500 cm^3,C. 1600 cm^3,D. 1800 cm^3,,,
Matematika - Bantul,28. Rata-rata 32 siswa = 75. Laki 24. Selisih rata 4 (Benar/Salah),A. Laki 73,B. Perempuan 78,C. Jumlah nilai perempuan 624,,,,
Matematika - Bantul,29. Peluang dadu faktor dari 4...,A. 2/3,B. 1/2,C. 1/3,D. 1/6,,,
Matematika - Bantul,30. Infografis TKA (Benar/Salah),A. Median = 37,B. Rata-rata = 41,C. Jangkauan = 29,,,,
Matematika - Kulonprogo,"1. Liga sepakbola: Menang 3, Seri 1, Kalah 0. P(11,1,3), Q(9,5,1), R(10,1,4)",A. Point tertinggi P,B. Jumlah tertinggi dan terendah 66,C. Point terendah Q,,,,
Matematika - Kulonprogo,2. Hasil (-10) + 8 x 5 - 18 : (-3) adalah,A. -54,B. -4,C. 24,D. 36,,,
Matematika - Kulonprogo,3. 7 kg gula dibagi 3/4 kg. Sisa gula adalah,A. 1/8 kg,B. 1/4 kg,C. 1/2 kg,D. 3/4 kg,,,
Matematika - Kulonprogo,"4. KPK dari 6, 4, 8 hari, mulai 28 Januari.",A. 19 Februari,B. 20 Februari,C. 21 Februari,D. 22 Februari,,,
Matematika - Kulonprogo,5. Luas kamar tidur C sebenarnya (skala 1:100)...,"A. 6,25 m^2","B. 7,5 m^2",C. 9 m^2,"D. 10,5 m^2",,,
Matematika - Kulonprogo,"6. Pengamatan cabai: A 9cm/3minggu, B 12cm/4minggu...",A. A lebih cepat,B. B lebih cepat,C. Laju sama,D. Tidak cukup data,,,
Matematika - Kulonprogo,"7. 100 ekor -> 12kg. Tambah 25 ekor, butuh pakan...",A. 14 kg,B. 15 kg,C. 18 kg,D. 20 kg,,,
Matematika - Kulonprogo,"8. Grafik kecepatan, waktu 2,5 jam, kecepatan adalah...",A. 46 km/jam,B. 48 km/jam,C. 50 km/jam,D. 52 km/jam,,,
Matematika - Kulonprogo,"9. Persegi panjang, p, 2x-1. Keliling 14x-6. p = ...",A. 5x+1,B. 5x-2,C. 9x+4,D. 9x-2,,,
Matematika - Kulonprogo,10. Kebun 3x+5 dan x. Keliling <= 58...,"1. x = 1,2,3,4,5",2. Lebar > 6m,3. Panjang <= 23m,4. Luas <= 138 m^2,,,
Matematika - Kulonprogo,"11. Nota ATK A, B, C (Benar/Salah)",A. Harga C 15.000,B. Harga B dua kali C,C. Kembalian 35.000 (lima puluhan),,,,
Matematika - Kulonprogo,"12. A = x-5, B = 2x+3. Nilai A x B = ...",A. 2x^2 - 7x - 15,B. 3x^2 - 15x - 15,C. 2x^2 - 13x - 15,D. 2x^2 - 7x - 7,,,
Matematika - Kulonprogo,"13. f(x)=ax+b, f(2)=2, f(-3)=-8, nilai f(0)...",A. -2,B. 0,C. -4,D. -8,,,
Matematika - Kulonprogo,14. Amoeba membelah jadi dua per 10 menit. 6 ekor setelah setengah jam...,A. 16,B. 32,C. 64,D. 128,,,
Matematika - Kulonprogo,15. Pola lingkaran (Merah/Biru)...,1. Merah pola 8 = 36,2. Biru pola 8 = 10,3. Selisih pola 9 = 35,4. Jumlah pola 9 = 52,,,
Matematika - Kulonprogo,"16. Sudut x, y, z (Benar/Salah)",A. Nilai x 50,B. Nilai y 120,C. Selisih x dan z 20,,,,
Matematika - Kulonprogo,"17. Kapal barat 90, utara 40, barat 30, utara 50. Jarak terdekat...",A. 150 km,B. 170 km,C. 210 km,D. 250 km,,,
Matematika - Kulonprogo,18. Sebangun trapesium ABCD EFGH...,1. GH=10,2. DH=5,3. DH:DG = 1:2,4. DG=15,,,
Matematika - Kulonprogo,19. Prisma segi enam (Benar/Salah),A. Lima bidang kongruen,B. Dua segi enam berhadapan,C. Enam persegi panjang,,,,
Matematika - Kulonprogo,20. Transformasi titik A...,"1. A'(-1,6) translasi","2. Refleksi x=-1 jadi A'(0,1)","3. Rotasi 90 jadi (-1,-2)","4. Translasi (2,-3) jadi (0,3)",,,
Matematika - Kulonprogo,21. Keliling kebun paman...,A. 82 m,B. 94 m,C. 100 m,D. 104 m,,,
Matematika - Kulonprogo,22. Luas kolam renang Kenzi...,A. 72 cm^2,"B. 115,5 cm^2","C. 199,5 cm^2",D. 189 cm^2,,,
Matematika - Kulonprogo,23. Volume limas T.ABCD dalam kubus 6x...,A. 6x^3,B. 24x^3,C. 30x^3,D. 36x^3,,,
Matematika - Kulonprogo,24. Volume ruang kosong antara 3 bola dalam tabung...,A. 10/3 pi r^3,B. 3/2 pi r^3,C. 5 pi r^3,D. 7 pi r^3,,,
Matematika - Kulonprogo,25. Data mudik Nataru...,A. Bali paling ramai,B. Yogya ketiga,C. Jateng > 2x Yogya,D. NTT + Lampung > Jakarta,,,
Matematika - Kulonprogo,26. Data panen produksi padi...,1. Sep diprediksi naik,2. Tertinggi Maret-April,"3. Juli naik 0,79","4. Oktober turun 0,27",,,
Matematika - Kulonprogo,27. Tabel nilai frekuensi (Benar/Salah),A. Modus 7,B. Di atas rata-rata 9 siswa,C. Di bawah rata-rata 6 siswa,,,,
Matematika - Kulonprogo,28. Rata-rata 20 = 60. Tambah rata 70 jadi 62. Banyak tambahan...,A. 2,B. 4,C. 5,D. 6,,,
Matematika - Kulonprogo,"29. Peluang kecelakaan 0,02. Dari 200 sopir...",A. 4,B. 6,C. 8,D. 10,,,
Matematika - Kulonprogo,"30. Dua dadu, peluang berjumlah 4...",A. 1/12,B. 1/18,C. 1/9,D. 5/36,,,
Matematika - Kota Yogyakarta,"1. Skor: Benar(4), Salah(-1), Kosong(0). 38 jawab, 33 benar. Skor...",A. 127,B. 132,C. 137,D. 152,,A,
Matematika - Kota Yogyakarta,"2. Cupcake resep (6 porsi): Terigu 0,75, Gula 1/2, Mentega 125. Punya: 4kg, 2,5kg, 1,5kg. Porsi dibuat...",A. 24 porsi,B. 27 porsi,C. 30 porsi,D. 48 porsi,,C,
Matematika - Kota Yogyakarta,"3. 45 botol jeruk, 72 stroberi. Maksimal rak FPB...",A. 7 rak,B. 9 rak,C. 14 rak,D. 21 rak,,B,
Matematika - Kota Yogyakarta,"4. Dinding 4,6 x 2,8. Cat cover 7 1/5. Kaleng cat...",A. 1 kaleng,B. 2 kaleng,C. 3 kaleng,D. 4 kaleng,,B,
Matematika - Kota Yogyakarta,5. Denah rumah...,"1. Keliling halaman 28,5m","2. Keliling garasi 13,5cm","3. Luas kamar 1: 16,25m2","4. Luas kamar 2: 18,56cm2",,"1,4",
Matematika - Kota Yogyakarta,"6. 10 pekerja 18 hari. Ingin 12 hari, tambahan pekerja...",A. 15 orang,B. 12 orang,C. 8 orang,D. 5 orang,,D,
Matematika - Kota Yogyakarta,"7. 5 hari x 5 donor x 0,5 liter. 7,5x10^8 per ml. Total sel darah...","A. 3,75x10^11","B. 4,875x10^11","C. 5,125x10^12","D. 9,375x10^12",,D,
Matematika - Kota Yogyakarta,8. Bangun AF=2akar98 dll (Benar/Salah),1. DC = 4 akar 2,2. ED = 8 akar 2,3. Keliling 46 akar 2,,,"S,B,B",
Matematika - Kota Yogyakarta,9. Diskon sepatu ABCD...,1. Diskon C 75rb,2. Bayar B 93.600,3. Bayar tertinggi B,4. Bayar terendah A,,"2,4",
Matematika - Kota Yogyakarta,10. Mobil max 1 ton. 15 kotak naga(30kg). Jeruk(50kg). Maks total kotak...,A. 11 kotak,B. 16 kotak,C. 26 kotak,D. 30 kotak,,C,
Matematika - Kota Yogyakarta,11. Belanja sayur/telur...,1. 2 telur 6000,2. 1 brokoli 12000,3. Ibu bayar 54000,4. Mirna bayar 16000,,"2,4",
Matematika - Kota Yogyakarta,12. Luas arsir (aljabar persegi panjang)...,A. 20x^2 - 23x - 6,B. 20x^2 - 7x - 6,C. 20x^2 - 6,D. 20x^2 + 6,,B,
Matematika - Kota Yogyakarta,"13. f(x)=px+q, f(-4)=19, f(5)=-8...",1. p = 3,2. q = 7,3. f(x) = -3x+7,4. f(-7) = 28,,"2,3,2004",
Matematika - Kota Yogyakarta,14. Selisih persegi hitam dan putih pola ke-7...,A. 47,B. 42,C. 36,D. 34,,D,
Matematika - Kota Yogyakarta,"15. Tabungan aritmetika Agust=50rb, tambah 5rb. S.d. April 2025...",A. Rp490.000,B. Rp495.000,C. Rp630.000,D. Rp680.000,,C,
Matematika - Kota Yogyakarta,"16. Sudut b=18, c=14, sudut a...",A. 22 derajat,B. 24 derajat,C. 30 derajat,D. 32 derajat,,D,
Matematika - Kota Yogyakarta,"17. Lintasan AB=120, BC=210, CD=80. Jarak AD...",A. 200 m,B. 290 m,C. 310 m,D. 360 m,,B,
Matematika - Kota Yogyakarta,18. Segitiga ABC kongruen PQR (Benar/Salah),A. AB = 5cm,"B. Sudut R = 81,9","C. Sudut P = 54,5",,,"S,B,B",
Matematika - Kota Yogyakarta,19. Lukisan ABCD ditempel PQRS sebangun... Keliling ABCD...,A. 210 cm,B. 220 cm,C. 250 cm,D. 280 cm,,A,
Matematika - Kota Yogyakarta,"20. Adi bayangan 190, tinggi 160, jarak 200. Tinggi lampu...",A. 320 cm,B. 300 cm,C. 240 cm,D. 177 cm,,A,
Matematika - Kota Yogyakarta,21. Transformasi geometri...,"1. Translasi (-2,1) oleh (3,-5)","2. Dilatasi (-3,-2) k=4 jadi (-12,-8)",3. Refleksi sumbu x,4. Rotasi 90,,"2,4",
Matematika - Kota Yogyakarta,22. Keliling gabungan belah ketupat dan jajargenjang...,A. 79 cm,B. 92 cm,C. 105 cm,D. 109 cm,,B,
Matematika - Kota Yogyakarta,23. Luas arsir lingkaran dan persegi...,A. 304 cm^2,B. 784 cm^2,C. 1092 cm^2,D. 1246 cm^2,,C,
Matematika - Kota Yogyakarta,"24. Jaring-jaring A, B, C (Benar/Salah)",A. Jaring kubus,B. Jaring prisma segi 5,C. Jaring limas segi 4,,,"B,B,C",
Matematika - Kota Yogyakarta,25. Volume gabungan balok dan limas...,A. 2400 cm^3,B. 3360 cm^3,C. 3520 cm^3,D. 5760 cm^3,,A,
Matematika - Kota Yogyakarta,"26. Pelampung setengah bola dan kerucut dicat, luas...",A. 440 pi cm^2,B. 460 pi cm^2,C. 540 pi cm^2,D. 560 pi cm^2,,B,
Matematika - Kota Yogyakarta,27. Volume bandul setengah bola dan tabung...,A. 1080 pi cm^3,B. 1008 pi cm^3,C. 864 pi cm^3,D. 792 pi cm^3,,C,
Matematika - Kota Yogyakarta,28. Diagram penjualan gula (Benar/Salah),A. Jangkauan 16,B. Penurunan tertinggi jumat-sabtu,C. Tiga hari di atas rata-rata,,,"B,B,S",
Matematika - Kota Yogyakarta,29. Rata-rata 15 data = 22... Data ke-15...,A. 24,B. 30,C. 35,D. 40,,D,
Matematika - Kota Yogyakarta,30. Dadu jumlah 5 peluang...,A. 5/18,B. 1/6,C. 1/9,D. 1/12,,C,
Matematika - DIY Paket B,"1. Olimpiade Skor: Benar(3), Salah(-1), Kosong(0). 37 dijawab, 32 benar. Skor...",A. 111,B. 96,C. 91,D. 88,,C,
Matematika - DIY Paket B,"2. Bilangan 4/5, 1,25, 1 1/5, 90% pada garis bilangan...",A. (gambar),B. (gambar),C. (gambar),D. (gambar),,B,
Matematika - DIY Paket B,"3. 180, 360, 540. FPB...",A. 2^2 x 3^2 x 5^2,B. 2^2 x 3^2 x 5,C. 2 x 3^2 x 5,D. 2 x 3 x 5,,B,
Matematika - DIY Paket B,"4. Dinding 5m x 4m, 9m x 10m. Kemasan A(10 m^2/kg, 2kg, Rp50rb), B(15 m^2/kg, 1kg, Rp30rb)... biaya minimum",A. 1 B dan 3 A,B. 2 B dan 2 A,C. 3 B dan 1 A,D. 4 B dan 1 A,,C,
Matematika - DIY Paket B,5. Denah rumah skala 1:50...,1. Luas carport sebenarnya 24 m^2,2. Luas seluruh lahan 104 m^2,3. Keliling lahan 84m,4. Keliling taman depan 28m,,"1,2",
Matematika - DIY Paket B,"6. 250 ekor -> pakan 30 hari. 9 hari jalan, sisa 150 ekor. Pakan habis...",A. 21 hari,B. 30 hari,C. 35 hari,D. 36 hari,,C,
Matematika - DIY Paket B,"7. 6kg = Rp132.000. Uang Rp250.000, beli 11kg, kembali...",A. Rp8.000,B. Rp12.000,C. Rp18.000,D. Rp30.000,,A,
Matematika - DIY Paket B,"8. P = 3 akar(3) - 4, Q = 4 akar(3) + 5... (Benar/Salah)",A. P+Q = 7 akar(3) + 9,B. P-Q = -akar(3) - 9,C. PxQ = 16 - akar(3),,,"S,B,B",
Matematika - DIY Paket B,"9. Beli 3 baju, toko termurah (Amarta 40%, Astina beli2 gratis 1, dll)...",A. Toko Amarta,B. Toko Astina,C. Toko Pancala,D. Toko Wirata,,D,
Matematika - DIY Paket B,10. 3(3x+4)-19 = 4x+13. Nilai 3x-4...,A. 16,B. 12,C. 8,D. 4,,C,
Matematika - DIY Paket B,"11. Uang Rp120.000, ongkos Rp9.000. Buku Rp8.000, pulpen Rp6.000. Beli 4 pulpen, maks buku...",A. 9,B. 10,C. 11,D. 12,,B,
Matematika - DIY Paket B,"12. 3 anggur + 4 kiwi = 460rb, 1 anggur + 2 kiwi = 200rb...",1. Anggur Rp60.000,2. Kiwi Rp80.000,3. 2 anggur + 1 kiwi = Rp190.000,4. Kiwi lebih mahal Rp10.000 dari anggur,,"1,3,2004",
Matematika - DIY Paket B,13. Trapesium. Luas daerah trapesium (aljabar)...,A. (3x^2 + 16x + 16),B. (3x^2 + 16x + 32),C. (6x^2 + 16x + 16),D. (6x^2 + 16x + 32),,A,
Matematika - DIY Paket B,"14. Fungsi f(x) = ax+b, dll (Benar/Salah)",A. f(x) = 2x-2,"B. Daerah hasil {0,4,8}",C. a+b=4,,,"S,B,B",
Matematika - DIY Paket B,"15. Barisan 10, 12, 14, 16... U72 - U15 = ...",A. 114,B. 118,C. 120,D. 125,,A,
Matematika - DIY Paket B,16. Pola batang korek api... s.d. pola 55...,A. 7533,B. 7810,C. 7947,D. 8092,,B,
Matematika - DIY Paket B,"17. Sudut a, b, c (Benar/Salah)",A. a = 55,B. b = 35,C. c-b = 10,,,"S,B,B",
Matematika - DIY Paket B,18. Jarak gedung (Benar/Salah),A. Jarak A-D = 60m,B. Jarak B-D = 160m,C. Jarak A-B = 90m,,,"B,S,B",
Matematika - DIY Paket B,"19. Kongruen AABC = APQR, RPQ...",A. 51,B. 52,C. 60,D. 77,,A,
Matematika - DIY Paket B,20. Lukisan ABCD dan PQRS sebangun...,1. PS = 54cm,2. Keliling ABCD 280cm,3. Keliling PQRS 126cm,4. Selisih 28cm,,"1,2,2004",
Matematika - DIY Paket B,21. Titik A... Transformasi...,"1. Rotasi 90 A'(-3,2)","2. Refleksi x A'(-2,3)","3. Dilatasi -4 A'(-8,-12)","4. Translasi A'(3,7)",,"1,3",
Matematika - DIY Paket B,22. Belah ketupat dan trapesium samakaki. Keliling gabungan...,A. 68 cm,B. 72 cm,C. 78 cm,D. 88 cm,,C,
Matematika - DIY Paket B,23. Luas daerah arsir lingkaran dan persegi...,A. 140 m^2,B. 154 m^2,C. 217 m^2,D. 231 m^2,,C,
Matematika - DIY Paket B,"24. Jaring-jaring 1,2,3 (Benar/Salah)",A. Jaring kubus,B. Jaring prisma segi 7,C. Jaring limas segi 6,,,"S,B,B",
Matematika - DIY Paket B,"25. Balok + limas, TK=22, Vol gabungan...",A. 4080,B. 4440,C. 5040,D. 6480,,C,
Matematika - DIY Paket B,"26. Bola d=21m, tabung r=1,5 t=7m. Jumlah truk...",A. 343,B. 147,C. 98,D. 49,,C,
Matematika - DIY Paket B,27. Gula A vs Gula B... Selisih rata-rata...,A. 2 kg,B. 4 kg,C. 6 kg,D. 8 kg,,A,
Matematika - DIY Paket B,28. Tinggi badan siswa (Tabel)...,1. Median 157,2. Modus 155,3. Rata-rata 159,4. Di atas rata-rata 10 orang,,"2,4",
Matematika - DIY Paket B,29. Peluang dadu lebih dari 4...,A. 1/6,B. 1/3,C. 1/2,D. 2/3,,B,
Matematika - DIY Paket B,30. Mesin penetas Alpha Beta dll...,A. Alpha,B. Beta,C. Gamma,D. Delta,,C,
Matematika - DIY Paket A,"1. Olimpiade Skor: Benar(4), Salah(-1), Kosong(0). 27 dijawab, 24 benar. Skor...",A. 90,B. 93,C. 96,D. 108,,B,
Matematika - DIY Paket A,"2. Bilangan 1/2, 1,2, 1 1/4, 70% pada garis bilangan...",A. (gambar),B. (gambar),C. (gambar),D. (gambar),,C,
Matematika - DIY Paket A,"3. 240, 360, 450. FPB...",A. 2^2 x 3^2 x 5^2,B. 2^2 x 3^2 x 5,C. 2 x 3^2 x 5,D. 2 x 3 x 5,,D,
Matematika - DIY Paket A,"4. Dinding 8m x 4m, 12m x 5m. Kemasan A(10 m^2/kg, 2kg, Rp50rb), B(15 m^2/kg, 1kg, Rp30rb)... biaya minimum",A. 4 B dan 1 A,B. 3 B dan 2 A,C. 2 B dan 3 A,D. 1 B dan 3 A,,A,
Matematika - DIY Paket A,5. Denah rumah skala 1:50...,1. Luas Kamar 1 & 2 = 18 m^2,2. Luas lahan 400 m^2,3. Keliling lahan 41m,4. Keliling garasi 38m,,"1,3",
Matematika - DIY Paket A,"6. 200 ekor -> pakan 30 hari. 12 hari jalan, sisa 150 ekor. Pakan habis...",A. 18 hari,B. 24 hari,C. 30 hari,D. 32 hari,,B,
Matematika - DIY Paket A,"7. 5kg = Rp120.000. Uang Rp250.000, beli 9kg, kembali...",A. Rp34.000,B. Rp32.000,C. Rp25.000,D. Rp10.000,,A,
Matematika - DIY Paket A,"8. A = 3 akar(2) + 5, B = 2 akar(2) - 3... (Benar/Salah)",1. A+B = 5 akar(2) + 2,2. A-B = akar(2) + 2,3. AxB = akar(2) - 3,,,"B,S,B",
Matematika - DIY Paket A,"9. Beli 3 baju, toko termurah (Merapi 60%, Merbabu beli2 gratis 1, dll)...",A. Toko Merapi,B. Toko Merbabu,C. Toko Himalaya,D. Toko Suralaya,,C,
Matematika - DIY Paket A,10. 4(2x+3)-13 = 5x+8. Nilai 6x+5...,A. 3,B. 13,C. 21,D. 23,,D,
Matematika - DIY Paket A,"11. Uang Rp100.000, ongkos Rp8.000. Buku Rp9.000, pulpen Rp7.000. Beli 3 pulpen, maks buku...",A. 6,B. 7,C. 8,D. 9,,B,
Matematika - DIY Paket A,"12. 4 bawang + 3 cabai = 360rb, 2 bawang + 5 cabai = 390rb...",1. Bawang Rp47.000,2. Cabai Rp60.000,3. 1 bawang + 2 cabai = Rp165.000,4. Selisih Rp15.000,,"2,3,2004",
Matematika - DIY Paket A,13. Trapesium. Luas daerah trapesium (aljabar)...,A. (2x^2 + 7x + 6),B. (2x^2 + 8x + 8),C. (2x^2 + 12x + 16),D. (4x^2 + 8x + 16),,B,
Matematika - DIY Paket A,"14. Fungsi f(x) = ax+b, dll (Benar/Salah)",1. f(x) = 2x+1,"2. Daerah hasil {5,9,13}",3. a+b=4,,,"B,B,S",
Matematika - DIY Paket A,"15. Barisan 8, 11, 14, 17... U60 - U12 = ...",A. 96,B. 120,C. 144,D. 156,,C,
Matematika - DIY Paket A,16. Pola batang korek api... s.d. pola 55...,A. 7452,B. 7590,C. 7755,D. 8036,,C,
Matematika - DIY Paket A,"17. Sudut x, y (Benar/Salah)",A. x = 97,B. y = 45,C. x-y = 42,,,"B,S,B",
Matematika - DIY Paket A,18. Jarak gedung (Benar/Salah),A. Jarak A-D = 60m,B. Jarak B-D = 90m,C. Jarak A-B = 40m,,,"S,B,B",
Matematika - DIY Paket A,"19. Kongruen AABC = APQR, PQ...","A. 1,3 cm","B. 1,5 cm","C. 2,0 cm","D. 3,0 cm",,A,
Matematika - DIY Paket A,20. Lukisan ABCD dan PQRS sebangun...,1. QR = 54cm,2. Luas ABCD 4800 cm^2,3. Luas PQRS 3672 cm^2,4. Luas tak tertutup 912 cm^2,,"1,2,2004",
Matematika - DIY Paket A,21. Titik A... Transformasi...,"1. Translasi (-1,4) jadi A'(4,6)","2. Rotasi 90 A'(-2,3)","3. Refleksi x A'(-3,2)","4. Dilatasi -4 A'(-12,-8)",,"2,4",
Matematika - DIY Paket A,22. Belah ketupat dan trapesium samakaki. Keliling gabungan...,A. 80 cm,B. 89 cm,C. 92 cm,D. 105 cm,,C,
Matematika - DIY Paket A,23. Luas daerah arsir lingkaran dan persegi...,A. 157 m^2,B. 286 m^2,C. 372 m^2,D. 443 m^2,,D,
Matematika - DIY Paket A,"24. Jaring-jaring 1,2,3 (Benar/Salah)",A. Jaring kubus,B. Jaring prisma segi 6,C. Jaring limas segi 4,,,"B,B,S",
Matematika - DIY Paket A,"25. Balok + limas, TK=22, Vol gabungan...",A. 9200,B. 9620,C. 10020,D. 10800,,A,
Matematika - DIY Paket A,"26. Bola d=12m, tabung r=1 t=4m. Jumlah truk...",A. 144,B. 72,C. 48,D. 36,,B,
Matematika - DIY Paket A,27. Gula A vs Gula B... Selisih rata-rata...,A. 4 kg,B. 6 kg,C. 8 kg,D. 10 kg,,B,
Matematika - DIY Paket A,28. Tinggi badan siswa (Tabel)...,1. Modus 155,2. Median 156,3. Rata-rata 158,4. Di bawah rata-rata 10 orang,,"1,4",
Matematika - DIY Paket A,29. Peluang dadu kurang dari 5...,A. 1/6,B. 1/3,C. 1/2,D. 2/3,,D,
Matematika - DIY Paket A,30. Mesin penetas Alpha Beta dll...,A. Mesin A,B. Mesin B,C. Mesin C,D. Mesin D,,D,
B.Indo - DIY Paket B,1. Penggunaan kata rumah menekankan bahwa Raja Ampat berfungsi sebagai...,A. kawasan wisata,B. wilayah perlindungan,C. tempat menyediakan makanan dan kondisi laut,D. lokasi penelitian,,C,
B.Indo - DIY Paket B,2. Tentukan kesesuaian pernyataan (Sesuai/Tidak Sesuai),A. Pabrik spesies karena arus laut nutrisi tinggi.,B. Terumbu karang penting bagi masyarakat.,C. Konservasi total masyarakat dilarang.,,,"S,S,TS",
B.Indo - DIY Paket B,3. Gagasan pendukung kawasan pusat keanekaragaman hayati...,A. Pulau kecil wisata,B. Arus laut nutrisi menopang kehidupan laut,C. Ekonomi perikanan laut,D. Transportasi laut,,B,
B.Indo - DIY Paket B,4. Istilah media sosial yang sesuai dengan teks...,1. unggah,2. produk,3. konsep,4. reviu,,"1,4",
B.Indo - DIY Paket B,5. Apa tujuan teks prosedur tersebut ditulis?,A. Menghibur reviu,B. Menjelaskan langkah-langkah membuat konten reviu,C. Membujuk menjadi youtuber,D. Mendeskripsikan kelebihan,,B,
B.Indo - DIY Paket B,6. Bagian mana yang tidak sesuai pada teks prosedur...,A. Langkah tidak lengkap judul video,B. Alat bahan dijelaskan terpisah,C. Tahapan tidak urut,D. Langkah tidak mencerminkan isi konten,,A,
B.Indo - DIY Paket B,7. Pokok-pokok berita Borobudur Fun Run...,1. Diselenggarakan 16 Nov,2. Diselenggarakan 23 Nov seminggu setelah Marathon,3. Diikuti 11500,4. Diikuti ribuan peserta seminggu setelah Marathon,,"2,4",
B.Indo - DIY Paket B,8. Hal prioritas pemerintah daerah agar masyarakat gemar lari...,1. Lintasan gratis/murah,2. Pernak-pernik,3. Klub profesional,4. Lomba lari menggembirakan/prestasi hadiah menarik,,"1,4",
B.Indo - DIY Paket B,9. Penulisan kalimat yang belum akurat terdapat pada...,A. kalimat pertama paragraf pertama,B. kalimat kedua paragraf kedua,C. kalimat kedua paragraf ketiga,D. kalimat pertama paragraf keempat,,C,
B.Indo - DIY Paket B,10. Pihak yang menggunakan berbagai modus meyakinkan korban phising...,A. pelaku kejahatan phising,B. para korban,C. oknum penipuan,D. file yang dikirim,,A,
B.Indo - DIY Paket B,11. Peristiwa yang terjadi pada kutipan teks tersebut adalah,A. pengiriman file,B. korban penipuan,C. imbauan polisi,D. meningkatnya kasus penipuan online,,D,
B.Indo - DIY Paket B,12. Tindakan yang relevan untuk mencegah peristiwa terulang adalah,A. bersikap hati-hati terhadap pesan mencurigakan,B. segera lapor polisi,C. biasa saja,D. mengusulkan hukuman berat,,A,
B.Indo - DIY Paket B,13. Kata istilah manakah yang tidak sesuai kaidah...,1. glikemik,2. fruktosa,3. nutrien,4. glaukoma,,"3,4",
B.Indo - DIY Paket B,14. Pola pengembangan pada paragraf ketiga teks diabetes...,A. Kausalitas.,B. Deduktif.,C. Induktif.,D. Ilustrasi.,,B,
B.Indo - DIY Paket B,15. Penggunaan konjungsi manakah yang tidak sesuai kaidah...,A. atau paragraf 2,B. namun paragraf 2,C. supaya paragraf 3,D. dan paragraf 1,,C,
B.Indo - DIY Paket B,16. Kebenaran opini (Benar/Salah) Novel Melangkah...,"A. Diapresiasi banyak aspek, detail berlebihan kurangi kenyamanan.",B. Unsur budaya disebut sekilas.,"C. Walau penokohan kurang, perpaduan aksi layak direkomendasikan.",,,"B,S,B",
B.Indo - DIY Paket B,17. Simpulan paling tepat teks ulasan Melangkah...,"A. Menonjolkan laga, budaya latar.",B. Gagal karena kritik sosial menutupi fantasi.,C. Keunggulan pada kejelasan motivasi.,"D. Berhasil memadukan petualangan, walau penokohan kurang.",,D,
B.Indo - DIY Paket B,18. Alasan paling tepat judul Melangkah sesuai adalah...,A. Penulis gambarkan Sumba detail.,B. Fokus konflik batin tokoh.,"C. Perpaduan budaya, namun kedalaman karakter belum maksimal.",D. Detail panjang bebas kelemahan.,,C,
B.Indo - DIY Paket B,19. Bagan yang sesuai teks Pola Makan Remaja...,A. Penyebab -> Dampak Kurangnya Gizi -> Edukasi Gizi,B. Penyebab -> Kurangnya Asupan -> Dampak Jangka Panjang -> Solusi,C. Penyebab -> Dampak Jangka Panjang -> Kurangnya Asupan -> Solusi,D. Penyebab -> Makanan Bergizi -> Dampak -> Edukasi,,B,
